"prop"	"symbol"	"redirected"
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Saskatchewan"	"http://dbpedia.org/resource/Coat_of_arms_of_Saskatchewan"	
"http://dbpedia.org/resource/Category:Regional_symbols_of_Fujian"	"http://dbpedia.org/resource/Narcissus_(plant)"	
"http://dbpedia.org/resource/Category:Regional_symbols_of_Guangdong"	"http://dbpedia.org/resource/Bombax_ceiba"	
"http://dbpedia.org/resource/Category:Regional_symbols_of_Hong_Kong"	"http://dbpedia.org/resource/Flag_of_Hong_Kong"	
"http://dbpedia.org/resource/Category:Regional_symbols_of_Hong_Kong"	"http://dbpedia.org/resource/Emblem_of_Hong_Kong"	
"http://dbpedia.org/resource/Category:Regional_symbols_of_Hong_Kong"	"http://dbpedia.org/resource/Bauhinia_×_blakeana"	
"http://dbpedia.org/resource/Category:Regional_symbols_of_Hong_Kong"	"http://dbpedia.org/resource/Indo-Pacific_humpback_dolphin"	
"http://dbpedia.org/resource/Category:National_symbols_of_Turkey"	"http://dbpedia.org/resource/Ay-yıldız"	"http://dbpedia.org/resource/National_emblem_of_Turkey"
"http://dbpedia.org/resource/Category:National_symbols_of_Turkey"	"http://dbpedia.org/resource/Grey_wolf_(mythology)"	
"http://dbpedia.org/resource/Category:National_symbols_of_Turkey"	"http://dbpedia.org/resource/Seljuk_eternity_sign"	
"http://dbpedia.org/resource/Category:National_symbols_of_Turkey"	"http://dbpedia.org/resource/16_Great_Turkic_Empires"	
"http://dbpedia.org/resource/Category:National_symbols_of_Turkey"	"http://dbpedia.org/resource/National_emblem_of_Turkey"	
"http://dbpedia.org/resource/Category:National_symbols_of_Turkey"	"http://dbpedia.org/resource/İstiklal_Marşı"	
"http://dbpedia.org/resource/Category:National_symbols_of_Turkey"	"http://dbpedia.org/resource/Star_and_crescent"	
"http://dbpedia.org/resource/Category:National_symbols_of_Turkey"	"http://dbpedia.org/resource/Flag_of_Turkey"	
"http://dbpedia.org/resource/Category:National_symbols_of_Turkey"	"http://dbpedia.org/resource/Presidential_Seal_of_Turkey"	
"http://dbpedia.org/resource/Category:National_symbols_of_Turkey"	"http://dbpedia.org/resource/Imperial_anthems_of_the_Ottoman_Empire"	
"http://dbpedia.org/resource/Category:National_symbols_of_Turkey"	"http://dbpedia.org/resource/List_of_countries_with_the_Islamic_symbols_displayed_on_their_flag"	
"http://dbpedia.org/resource/Category:National_symbols_of_Turkey"	"http://dbpedia.org/resource/Coat_of_arms_of_the_Ottoman_Empire"	
"http://dbpedia.org/resource/Category:Symbols_of_Rhode_Island"	"http://dbpedia.org/resource/The_Ocean_State"	"http://dbpedia.org/resource/Rhode_Island"
